Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0603",-31.551581,-32.742207,0.000000,bottom
"C2","0.1u","C_0603",-21.431260,-35.718772,180.000000,bottom
"C3","4.7u","C_0603",-21.431260,-33.932833,180.000000,bottom
"C4","1u","C_0603",-21.431260,-39.290650,180.000000,bottom
"CR1","1k","R_0603",-25.598451,-27.384390,90.000000,bottom
"D1","D","D_0805",-36.314085,-10.715626,90.000000,bottom
"D2","D","D_0805",-39.885963,-10.715626,90.000000,bottom
"D3","D","D_0805",-55.364101,-10.715626,90.000000,bottom
"D4","D","D_0805",-74.414117,-10.715626,90.000000,bottom
"D5","D","D_0805",-93.464133,-10.715626,90.000000,bottom
"D6","D","D_0805",-112.514149,-10.715626,90.000000,bottom
"D7","D","D_0805",-131.564165,-10.715626,90.000000,bottom
"D8","D","D_0805",-150.614181,-10.715626,90.000000,bottom
"D9","D","D_0805",-169.664197,-10.715626,90.000000,bottom
"D10","D","D_0805",-188.714213,-10.715626,90.000000,bottom
"D11","D","D_0805",-207.764229,-10.715626,90.000000,bottom
"D12","D","D_0805",-226.814245,-10.715626,90.000000,bottom
"D13","D","D_0805",-229.790810,-10.715626,90.000000,bottom
"D14","D","D_0805",-19.645321,-29.765642,90.000000,bottom
"D15","D","D_0805",-41.076589,-29.765642,90.000000,bottom
"D16","D","D_0805",-60.126605,-29.765642,90.000000,bottom
"D17","D","D_0805",-79.176621,-29.765642,90.000000,bottom
"D18","D","D_0805",-98.226637,-29.765642,90.000000,bottom
"D19","D","D_0805",-117.276653,-29.765642,90.000000,bottom
"D20","D","D_0805",-136.326669,-29.765642,90.000000,bottom
"D21","D","D_0805",-155.376685,-29.765642,90.000000,bottom
"D22","D","D_0805",-174.426701,-29.765642,90.000000,bottom
"D23","D","D_0805",-193.476717,-29.765642,90.000000,bottom
"D24","D","D_0805",-212.526733,-29.765642,90.000000,bottom
"D26","D","D_0805",-223.242367,-29.765642,90.000000,bottom
"D27","D","D_0805",-24.407825,-48.815658,90.000000,bottom
"D29","D","D_0805",-50.601597,-48.825032,90.000000,bottom
"D30","D","D_0805",-69.651613,-48.825032,90.000000,bottom
"D31","D","D_0805",-88.701629,-48.825032,90.000000,bottom
"D32","D","D_0805",-107.751645,-48.825032,90.000000,bottom
"D33","D","D_0805",-126.801661,-48.825032,90.000000,bottom
"D34","D","D_0805",-145.851677,-48.825032,90.000000,bottom
"D35","D","D_0805",-164.901693,-48.825032,90.000000,bottom
"D36","D","D_0805",-183.951709,-48.825032,90.000000,bottom
"D37","D","D_0805",-187.523587,-48.815658,90.000000,bottom
"D38","D","D_0805",-206.573603,-48.815658,90.000000,bottom
"D39","D","D_0805",-203.001725,-48.815658,90.000000,bottom
"D40","D","D_0805",-22.026573,-67.865674,90.000000,bottom
"D41","D","D_0805",-25.598451,-67.865674,90.000000,bottom
"D42","D","D_0805",-89.892255,-67.865674,90.000000,bottom
"D43","D","D_0805",-83.939125,-67.865674,90.000000,bottom
"D45","D","D_0805",-110.132897,-67.865674,90.000000,bottom
"D47","D","D_0805",-116.086027,-67.865674,90.000000,bottom
"D49","D","D_0805",-158.948563,-67.865674,90.000000,bottom
"D50","D","D_0805",-155.971998,-67.865674,90.000000,bottom
"D51","D","D_0805",-152.995433,-67.865674,90.000000,bottom
"D52","D","D_0805",-150.018868,-67.865674,90.000000,bottom
"F1","Polyfuse_Small","R_0603",-15.478112,-18.454672,90.000000,bottom
"G***","LOGO","Atom47_small",-79.176629,-36.909406,180.000000,bottom
"G***","LOGO","logo_new",-52.982857,-37.504719,180.000000,bottom
"G***","LOGO","oshw",-63.698491,-37.504719,180.000000,bottom
"J1","USB_mini_micro_B","U-F-M5DD-Y-L",-18.675000,-1.425000,180.000000,bottom
"J2","ISP","isp_standard",-7.143748,-38.100024,0.000000,bottom
"R1","22","R_0603",-17.264069,-18.454695,-90.000000,bottom
"R2","22","R_0603",-19.050008,-18.454695,-90.000000,bottom
"R3","10k","R_0603",-21.431260,-37.504711,180.000000,bottom
"R4","10k","R_0603",-39.290650,-39.290650,0.000000,bottom
"SW2","Rotary_Encoder_Switch","RotaryEncoder_Alps_EC11",-238.125192,-9.525000,90.000000,bottom
"U1","ATMEGA32U2","ATMEGA32U2",-29.765642,-40.481276,-90.000000,bottom
"U2","USBLC6-2SC6","USBLC6-2SC6",-19.050008,-13.096878,0.000000,bottom
"X1","16mhz","Resonator_SMD_muRata_CSTNExxV-3Pin-p1.2",-27.384390,-32.146894,0.000000,bottom
