Ref,Val,Package,PosX,PosY,Rot,Side
"CL1","LED","LED_0805",21.825000,-26.600000,180.000000,top
"JP1","Jumper","reset",86.915690,-66.675048,0.000000,top
"K1","KEYSW","CHERRY_PLATE_100H",9.525000,-9.525000,0.000000,top
"K2","KEYSW","CHERRY_PLATE_100H",28.575000,-9.525000,0.000000,top
"K3","KEYSW","CHERRY_PLATE_100H",47.625000,-9.525000,0.000000,top
"K4","KEYSW","CHERRY_PLATE_100H",66.675000,-9.525000,0.000000,top
"K5","KEYSW","CHERRY_PLATE_100H",85.725000,-9.525000,0.000000,top
"K6","KEYSW","CHERRY_PLATE_100H",104.775000,-9.525000,0.000000,top
"K7","KEYSW","CHERRY_PLATE_100H",123.825000,-9.525000,0.000000,top
"K8","KEYSW","CHERRY_PLATE_100H",142.875000,-9.525000,0.000000,top
"K9","KEYSW","CHERRY_PLATE_100H",161.925000,-9.525000,0.000000,top
"K10","KEYSW","CHERRY_PLATE_100H",180.975000,-9.525000,0.000000,top
"K11","KEYSW","CHERRY_PLATE_100H",200.025000,-9.525000,0.000000,top
"K12","KEYSW","CHERRY_PLATE_100H",219.075000,-9.525000,0.000000,top
"K13","KEYSW","CHERRY_PLATE_100H",238.125000,-9.525000,0.000000,top
"K14","KEYSW","CHERRY_PLATE_125H",11.906250,-28.575000,0.000000,top
"K15","KEYSW","CHERRY_PLATE_100H",33.337500,-28.575000,0.000000,top
"K16","KEYSW","CHERRY_PLATE_100H",52.387500,-28.575000,0.000000,top
"K17","KEYSW","CHERRY_PLATE_100H",71.437500,-28.575000,0.000000,top
"K18","KEYSW","CHERRY_PLATE_100H",90.487500,-28.575000,0.000000,top
"K19","KEYSW","CHERRY_PLATE_100H",109.537500,-28.575000,0.000000,top
"K20","KEYSW","CHERRY_PLATE_100H",128.587500,-28.575000,0.000000,top
"K21","KEYSW","CHERRY_PLATE_100H",147.637500,-28.575000,0.000000,top
"K22","KEYSW","CHERRY_PLATE_100H",166.687500,-28.575000,0.000000,top
"K23","KEYSW","CHERRY_PLATE_100H",185.737500,-28.575000,0.000000,top
"K24","KEYSW","CHERRY_PLATE_100H",204.787500,-28.575000,0.000000,top
"K26","KEYSW","CHERRY_PLATE_175H",230.981250,-28.575000,0.000000,top
"K27","KEYSW","CHERRY_PLATE_175H",16.668750,-47.625000,0.000000,top
"K29","KEYSW","CHERRY_PLATE_100H",42.862500,-47.625000,0.000000,top
"K30","KEYSW","CHERRY_PLATE_100H",61.912500,-47.625000,0.000000,top
"K31","KEYSW","CHERRY_PLATE_100H",80.962500,-47.625000,0.000000,top
"K32","KEYSW","CHERRY_PLATE_100H",100.012500,-47.625000,0.000000,top
"K33","KEYSW","CHERRY_PLATE_100H",119.062500,-47.625000,0.000000,top
"K34","KEYSW","CHERRY_PLATE_100H",138.112500,-47.625000,0.000000,top
"K35","KEYSW","CHERRY_PLATE_100H",157.162500,-47.625000,0.000000,top
"K36","KEYSW","CHERRY_PLATE_100H",176.212500,-47.625000,0.000000,top
