Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0603",-122.039157,-68.183170,-90.000000,bottom
"C2","0.1u","C_0603",-110.132897,-65.206605,180.000000,bottom
"C3","0.1u","C_0603",-112.514149,-58.062849,-90.000000,bottom
"C4","4.7u","C_0603",-109.537584,-58.062849,-90.000000,bottom
"C5","1u","C_0603",-119.062592,-55.681597,180.000000,bottom
"C6","0.47u","C_0603",-145.256364,-56.276910,90.000000,bottom
"C7","0.1u","C_0603",-148.828242,-56.276910,90.000000,bottom
"C8","22u","CP_EIA-3216-10_Kemet-I",-119.062592,-38.417520,180.000000,bottom
"C9","0.47u","C_0603",-148.828242,-66.992544,180.000000,bottom
"C10","0.1u","C_0603",-148.828242,-68.778483,180.000000,bottom
"C11","0.47u","C_0603",-150.614181,-54.490971,-90.000000,bottom
"C12","0.1u","C_0603",-147.042303,-54.490971,-90.000000,bottom
"C13","0.47u","C_0603",-149.423363,-59.531260,0.000000,bottom
"D1","D","D_SOD-323",-12.501565,-10.715618,90.000000,bottom
"D2","D","D_SOD-323",-31.551589,-10.715626,90.000000,bottom
"D3","D","D_SOD-323",-50.601605,-10.715626,90.000000,bottom
"D4","D","D_SOD-323",-69.651621,-10.715626,90.000000,bottom
"D5","D","D_SOD-323",-88.701637,-10.715626,90.000000,bottom
"D6","D","D_SOD-323",-107.751653,-10.715626,90.000000,bottom
"D7","D","D_SOD-323",-126.801669,-10.715626,90.000000,bottom
"D8","D","D_SOD-323",-145.851685,-10.715626,90.000000,bottom
"D9","D","D_SOD-323",-164.901701,-10.715626,90.000000,bottom
"D10","D","D_SOD-323",-183.951717,-10.715626,90.000000,bottom
"D11","D","D_SOD-323",-203.001733,-10.715626,90.000000,bottom
"D12","D","D_SOD-323",-222.051749,-10.715626,90.000000,bottom
"D13","D","D_SOD-323",-235.148635,-10.715626,90.000000,bottom
"D14","D","D_SOD-323",-14.882825,-29.765642,90.000000,bottom
"D15","D","D_SOD-323",-36.314093,-29.765642,90.000000,bottom
"D16","D","D_SOD-323",-55.364109,-29.765642,90.000000,bottom
"D17","D","D_SOD-323",-74.414125,-29.765642,90.000000,bottom
"D18","D","D_SOD-323",-93.464141,-29.765642,90.000000,bottom
"D19","D","D_SOD-323",-112.514157,-29.765642,90.000000,bottom
"D20","D","D_SOD-323",-131.564173,-29.765642,90.000000,bottom
"D21","D","D_SOD-323",-150.614189,-29.765642,90.000000,bottom
"D22","D","D_SOD-323",-169.664205,-29.765642,90.000000,bottom
"D23","D","D_SOD-323",-188.714221,-29.765642,90.000000,bottom
"D24","D","D_SOD-323",-207.764237,-29.765642,90.000000,bottom
"D26","D","D_SOD-323",-228.004879,-29.765642,90.000000,bottom
"D27","D","D_SOD-323",-19.645329,-48.815658,90.000000,bottom
"D29","D","D_SOD-323",-45.839101,-48.815658,90.000000,bottom
"D30","D","D_SOD-323",-64.889117,-48.815658,90.000000,bottom
"D31","D","D_SOD-323",-83.939133,-48.815658,90.000000,bottom
"D32","D","D_SOD-323",-102.989149,-48.815658,90.000000,bottom
"D33","D","D_SOD-323",-122.039165,-48.815658,90.000000,bottom
"D34","D","D_SOD-323",-141.089181,-48.815658,90.000000,bottom
"D35","D","D_SOD-323",-160.139197,-48.815658,90.000000,bottom
